,0,original,paredao
4146,"@Jujucactos Hahaha, ate parece que eu vou perder meu tempo votando no Scooby se o que eu mais quero e eliminar o viny e deixar de ver as vergonhas que ele passa . Me poupe, e #ForaViny com forca.","@Jujucactos Hahaha, ate parece que eu vou perder meu tempo votando no Scooby se o que eu mais quero e eliminar o viny e deixar de ver as vergonhas que ele passa . Me poupe, e #ForaViny com forca.",#foravyni
4147,Bora nesse #BBB22 #FicaScooby #ForaViny https://t.co/N88fes1mDL,Bora nesse #BBB22 #FicaScooby #ForaViny https://t.co/N88fes1mDL,#foravyni
4150,"@Jujucactos Nao poe a Juliette nessa historia nao, hein! 
#ForaViny","@Jujucactos Nao poe a Juliette nessa historia nao, hein! 
#ForaViny",#foravyni
4151,@PedroScooby Eu nao dormi tb adm tomei aquele Red Bull e foco #FicaScooby #ForaVyni,@PedroScooby Eu nao dormi tb adm tomei aquele Red Bull e foco #FicaScooby #ForaVyni,#foravyni
4152,@ZAMENZA Gente??!! Passada. #ForaScooby,@ZAMENZA Gente??!! Passada. #ForaScooby,#forascooby
4153,"O pobre coitado que ta chorando por 20 mil em compras, mas faz medicina particular. Conta outra Barao 

#BBB22 
#TeamPA 
#ForaNatalia 
#ForaLucas 
#ForaViny","O pobre coitado que ta chorando por 20 mil em compras, mas faz medicina particular. Conta outra Barao 

#BBB22 
#TeamPA 
#ForaNatalia 
#ForaLucas 
#ForaViny",#foravyni
4154,"Pra quem quer tirar o Scooby, so digo uma coisa. Ele tem varios outros paredoes a ir, pois o lollipop vota no G4 direto. Agora q chance teremos mais de viny no paredao?

#ForaViny #viny #BBB22 #ParedaoBBB22","Pra quem quer tirar o Scooby, so digo uma coisa. Ele tem varios outros paredoes a ir, pois o lollipop vota no G4 direto. Agora q chance teremos mais de viny no paredao?

#ForaViny #viny #BBB22 #ParedaoBBB22",#foravyni
4157,Ja votaram no Viny ? Entao vamos votar pessoal e #ForaViny #BBB22,Ja votaram no Viny ? Entao vamos votar pessoal e #ForaViny #BBB22,#foravyni
4158,scooby no paredao #ForaVyni https://t.co/sDYGtYmLl0,scooby no paredao #ForaVyni https://t.co/sDYGtYmLl0,#foravyni
4161,Galera mulheres a oportunidade perfeita pra gente tirar essa bicha chata #ForaViny #BBB22 https://t.co/buB07Vt78L,Galera mulheres a oportunidade perfeita pra gente tirar essa bicha chata #ForaViny #BBB22 https://t.co/buB07Vt78L,#foravyni
4162,@bbb Tem chances de sair muito chato #foravyni,@bbb Tem chances de sair muito chato #foravyni,#foravyni
4166,"RT @fernandapina_: Mais um paredao que o loliflop vai chorar, que pena kkk
 
#ForaViny 
#BBB22","RT @fernandapina_: Mais um paredao que o loliflop vai chorar, que pena kkk
 
#ForaViny 
#BBB22",#foravyni
4167,"Viny e claramente alguem traumatizado pela homofobia que sofreu e por isso faz de tudo pra agradar os outros, desde se anular ate se apoiar em tentativas de humor, preferindo que riam dele do que xinguem. Nao acho pior que o mimado escroto daquele minion que preferem #ForaScooby. https://t.co/MkPglyomhQ","Viny e claramente alguem traumatizado pela homofobia que sofreu e por isso faz de tudo pra agradar os outros, desde se anular ate se apoiar em tentativas de humor, preferindo que riam dele do que xinguem. Nao acho pior que o mimado escroto daquele minion que preferem #ForaScooby. https://t.co/MkPglyomhQ",#forascooby
4172,"Bom dia 
#ForaViny","Bom dia 
#ForaViny",#foravyni
4176,@chicobarney Pode ser dois??? #ForaScooby e #ForaViny,@chicobarney Pode ser dois??? #ForaScooby e #ForaViny,#foravyni
4177,#ForaVyni vem tropecar aqui fora,#ForaVyni vem tropecar aqui fora,#foravyni
4178,"certo ou errado, meu entretenimento e tirar um lollipop por vez a cada paredao.. #FORAVINY #BBB22","certo ou errado, meu entretenimento e tirar um lollipop por vez a cada paredao.. #FORAVINY #BBB22",#foravyni
4180,RT @joao_bilio: ja chega de ver essa poc se humilhando o tempo todo #FORAVYNI #BBB222,RT @joao_bilio: ja chega de ver essa poc se humilhando o tempo todo #FORAVYNI #BBB222,#foravyni
4184,"#ForaViny pipoca sem espirito, sem personalidade e sem o publico. Pode vir chorar por macho aqui fora","#ForaViny pipoca sem espirito, sem personalidade e sem o publico. Pode vir chorar por macho aqui fora",#foravyni
4185,@tiamaoficial Nao merece e nem quer.... E a fome com a  vontade de comer. #ForaScooby,@tiamaoficial Nao merece e nem quer.... E a fome com a  vontade de comer. #ForaScooby,#forascooby
4186,RT @CentralReaIity: RT nesse tweet se voce for #ForaGustavo https://t.co/fTuhplAtrR,RT @CentralReaIity: RT nesse tweet se voce for #ForaGustavo https://t.co/fTuhplAtrR,#foragustavo
4187,"@vengerbergk @tracklist Sou muito #ForaScooby nesse paredao, mesmo sabendo que isso nao vai rolar","@vengerbergk @tracklist Sou muito #ForaScooby nesse paredao, mesmo sabendo que isso nao vai rolar",#forascooby
4188,"Pelo amor de Deus, #ForaScooby #BBB222","Pelo amor de Deus, #ForaScooby #BBB222",#forascooby
4189,"De todas as pessoas que poderiam sair do programa agora, a que menos deveria e o Gustavo. A unica alma que ainda salva um pouco de entretenimento ali dentro. #BBB22 #ForaVyni","De todas as pessoas que poderiam sair do programa agora, a que menos deveria e o Gustavo. A unica alma que ainda salva um pouco de entretenimento ali dentro. #BBB22 #ForaVyni",#foravyni
4192,bom dia e #ForaVyni,bom dia e #ForaVyni,#foravyni
4194,@bbb n tem #ForaVyni,@bbb n tem #ForaVyni,#foravyni
4198,"@vyniof E ele pedir para ficar pq pega preservativo, lava roupa e e baba de bebado?

Olha sinceramente.......Ja pode sair!

#ForaVyni","@vyniof E ele pedir para ficar pq pega preservativo, lava roupa e e baba de bebado?

Olha sinceramente.......Ja pode sair!

#ForaVyni",#foravyni
4199,"N entendi , vcs querem tirar o Viny so pq ele tropeca ? Cade a maldade nesse menino q eu n vejo! Me poupe ne ! #BBB22 #ForaGustavo #ForaScooby","N entendi , vcs querem tirar o Viny so pq ele tropeca ? Cade a maldade nesse menino q eu n vejo! Me poupe ne ! #BBB22 #ForaGustavo #ForaScooby",#foragustavo
4201,Agora o Viny tropeca na eliminacao#ForaViny #bbb2022,Agora o Viny tropeca na eliminacao#ForaViny #bbb2022,#foravyni
4203,RT @AnalineLucena: Lamento informar que o quarto lollipop ira perder mais 1 integrante !!!! #ForaViny #BBB22,RT @AnalineLucena: Lamento informar que o quarto lollipop ira perder mais 1 integrante !!!! #ForaViny #BBB22,#foravyni
4207,"Na conversa, o surfista disse: ""Fui falar uma parada e ele me respondeu. Ele estava aqui, assim... (ao lado), e minha mao so fez assim: ""pau"", na cara dele. O beico ja ficou assim, igual ao Patolino. Ele nunca mais me respondeu na vida"", disse Scooby
#ForaScooby https://t.co/AtZqdR1qII","Na conversa, o surfista disse: ""Fui falar uma parada e ele me respondeu. Ele estava aqui, assim... (ao lado), e minha mao so fez assim: ""pau"", na cara dele. O beico ja ficou assim, igual ao Patolino. Ele nunca mais me respondeu na vida"", disse Scooby
#ForaScooby https://t.co/AtZqdR1qII",#forascooby
4209,"RT @itsmaick: o vyni e o scooby me irritam, mas o scooby e NATURALMENTE irritante, e um negocio DELE, caso perdido, n tem o q fazer. ja o v...","RT @itsmaick: o vyni e o scooby me irritam, mas o scooby e NATURALMENTE irritante, e um negocio DELE, caso perdido, n tem o q fazer. ja o v...",
4210,"@gigitwitta_ Mas foi exatamente isso que ele fez,mas os haters vao sempre falar que o Arthur e o interesseiro e oportunista.#ForaGustavo #Foralolipop","@gigitwitta_ Mas foi exatamente isso que ele fez,mas os haters vao sempre falar que o Arthur e o interesseiro e oportunista.#ForaGustavo #Foralolipop",#foragustavo
4213,"Bom dia galera. Desculpe incomodar sua ida para o trabalho, mas estou passando humildemente para pedir a sua ajuda para dar uns votinhos nesse ELITISTA DO CARALHO DO SCOOBY. Qualquer quantia ajuda. Kkkkk #bbb22 #ForaScooby 

https://t.co/HuHLVe1tLM","Bom dia galera. Desculpe incomodar sua ida para o trabalho, mas estou passando humildemente para pedir a sua ajuda para dar uns votinhos nesse ELITISTA DO CARALHO DO SCOOBY. Qualquer quantia ajuda. Kkkkk #bbb22 #ForaScooby 

https://t.co/HuHLVe1tLM",#forascooby
4218,"Vcs juram que ele falou isso???
Vivendo para essa lideranca!
#FicaScooby #ForaViny https://t.co/Mt2X6KWz3D","Vcs juram que ele falou isso???
Vivendo para essa lideranca!
#FicaScooby #ForaViny https://t.co/Mt2X6KWz3D",#foravyni
4220,@chicobarney Uma perda de tempo #ForaVyni,@chicobarney Uma perda de tempo #ForaVyni,#foravyni
4222,#ForaScooby com muita forca ,#ForaScooby com muita forca ,#forascooby
4223,"Que o discurso do @tadeuschmidt seja assim: ""Quem sai hoje e voce que quando entrou prometeu milhoes e ate agora entregou apenas centavos, voce @vyniof. #BBB22  #ForaViny","Que o discurso do @tadeuschmidt seja assim: ""Quem sai hoje e voce que quando entrou prometeu milhoes e ate agora entregou apenas centavos, voce @vyniof. #BBB22  #ForaViny",#foravyni
4224,@bbb @FiatBR Aaaeehhhhhh  #ForaViny,@bbb @FiatBR Aaaeehhhhhh  #ForaViny,#foravyni
4225,"Agora tudo vai ser homofobia!  Esse povo tem que ser processado por usar causas tao importantes para se defender quando sao criticados pela falta de carater!
#BBB22  #ForaViny  #ParedaoBBB22  @bbb https://t.co/uE5knw9vuG","Agora tudo vai ser homofobia!  Esse povo tem que ser processado por usar causas tao importantes para se defender quando sao criticados pela falta de carater!
#BBB22  #ForaViny  #ParedaoBBB22  @bbb https://t.co/uE5knw9vuG",#foravyni
4227,RT @forumpandlr: o Tadeu ja mandando o Vyni pra casa  #BBB22 #ForaVyni https://t.co/M570i6dv07,RT @forumpandlr: o Tadeu ja mandando o Vyni pra casa  #BBB22 #ForaVyni https://t.co/M570i6dv07,#foravyni
4228,"@vyniof Que chato isso!
Infelizmente o mundo e cruel.....O importante que ele tem todo amor do mundo!!
Mais hoje e #ForaVyni, porque se apagou virando sombra de Eli, esperava mais dele e ontem no discurso mais uma vez ele perdeu a oportunidade...Discurso de defesa...","@vyniof Que chato isso!
Infelizmente o mundo e cruel.....O importante que ele tem todo amor do mundo!!
Mais hoje e #ForaVyni, porque se apagou virando sombra de Eli, esperava mais dele e ontem no discurso mais uma vez ele perdeu a oportunidade...Discurso de defesa...",#foravyni
4229,"Gente, o #ForaScooby e que nem a giria BARRO. Parem de tentar fazer acontecer, isso nunca vai pegar! https://t.co/rRhbsrkpLX","Gente, o #ForaScooby e que nem a giria BARRO. Parem de tentar fazer acontecer, isso nunca vai pegar! https://t.co/rRhbsrkpLX",#forascooby
4232,"RT @seuabracols_: Eu so vejo o paredao assim : 

#ForaViny #BBB22 https://t.co/iY49I2GB9r","RT @seuabracols_: Eu so vejo o paredao assim : 

#ForaViny #BBB22 https://t.co/iY49I2GB9r",#foravyni
4234,"RT @OSumido: Como eu amo todos ( nem todos)
To aceitando votos
#ForaViny
E
#ForaGustavo","RT @OSumido: Como eu amo todos ( nem todos)
To aceitando votos
#ForaViny
E
#ForaGustavo",#foravyni
4235,q cara lixo eu sou #ForaScooby Dms https://t.co/y2dvuF43rg,q cara lixo eu sou #ForaScooby Dms https://t.co/y2dvuF43rg,#forascooby
4236,na aula presencial e votando #ForaVyni,na aula presencial e votando #ForaVyni,#foravyni
4238,Bom dia !!! #ForaViny,Bom dia !!! #ForaViny,#foravyni
4240,@passionnaiara_ @brunnagoncalves Vou seguir meu coracao. #ForaVyni,@passionnaiara_ @brunnagoncalves Vou seguir meu coracao. #ForaVyni,#foravyni
4242,#ForaScooby n aguento mais esse homem nessa casa meu pai!,#ForaScooby n aguento mais esse homem nessa casa meu pai!,#forascooby
4246,af como eu queria o Scooby fora que saco ja acordei triste de novo #forascooby,af como eu queria o Scooby fora que saco ja acordei triste de novo #forascooby,#forascooby
4248,"@bchartsnet O PAO MOFOU, BC. AVISA QUE E #ForaScooby","@bchartsnet O PAO MOFOU, BC. AVISA QUE E #ForaScooby",#forascooby
4251,Vyni podendo ter usado os 30 segundos p tentar se salvar ai vai la e terminar de decretar a propria eliminacao  #BBB22 #FORAVYNI,Vyni podendo ter usado os 30 segundos p tentar se salvar ai vai la e terminar de decretar a propria eliminacao  #BBB22 #FORAVYNI,#foravyni
4252,"O Gustavo entrou no bbb prometendo que ia causar, mas so o q vi foi defender a Lais.... Por esse motivo #foragustavo #BBB22","O Gustavo entrou no bbb prometendo que ia causar, mas so o q vi foi defender a Lais.... Por esse motivo #foragustavo #BBB22",#foragustavo
4257,@babi Chato forcado ja deu #foravyni vem ser chato aqui fora!!!!,@babi Chato forcado ja deu #foravyni vem ser chato aqui fora!!!!,#foravyni
4258,"@bbb #ForaViny #FicaScooby  Scoob ganha a lideranca amigo, e Bota o Lucas semana que vem kkkkkkk","@bbb #ForaViny #FicaScooby  Scoob ganha a lideranca amigo, e Bota o Lucas semana que vem kkkkkkk",#foravyni
4261,"Bom dia e #ForaVyni 
O proximo e o Lucas, ta achando o que?","Bom dia e #ForaVyni 
O proximo e o Lucas, ta achando o que?",#foravyni
4262,"joguei https://t.co/zz978pWMWX #71 5/6







#ForaScooby","joguei https://t.co/zz978pWMWX #71 5/6







#ForaScooby",#forascooby
4263,"Ontem eu cheguei do cinema e APAGUEI. Nem vi o paredao. #ForaVyni e que o ""cancelamento"" dele fique la dentro da casa.","Ontem eu cheguei do cinema e APAGUEI. Nem vi o paredao. #ForaVyni e que o ""cancelamento"" dele fique la dentro da casa.",#foravyni
4265,"Gostaria mesmo de #ForaScooby pq ele sempre mira na Lina, Jess e Nat.","Gostaria mesmo de #ForaScooby pq ele sempre mira na Lina, Jess e Nat.",#forascooby
4267,esse perfil eh #FicaScooby e #ForaViny se nao gostou morde as costas bom dia,esse perfil eh #FicaScooby e #ForaViny se nao gostou morde as costas bom dia,#foravyni
